,Values,Units
Switching On Time,2.2916666666666666e-07,s
Max Duty Cycle,0.928,N/A
Top Feedback Resistor Value,21000.0,ohm
Bottom Feedback Resistor Value,4666.666666666667,ohm
Soft Start Capacitance,7e-08,F
Output Inductance,6.402343749999999e-06,H
Peak to Peak Ind Current Ripple,1.6,A
Peak Ind Current,8.8,A
RMS Ind Current,8.01332224070225,A
Output Votlage Ripple,0.02249091408107791,V
Feedback Votlage Ripple Only Using a Feedforward Capacitor,0.022400000000000003,V
Feedback Voltage Ripple Using Method 3,0.04047308245627318,V
